"transe_date","code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"20160124","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","240.67205","240.67205"
"20160125","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","210.6723","345.63935","345.63935"
"20160125","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","74.5717","345.63935","345.63935"
"20160125","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","345.63935","345.63935"
"20160126","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","210.6723","345.63935","345.63935"
"20160126","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","74.5717","345.63935","345.63935"
"20160126","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","345.63935","345.63935"
"20160127","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","315.672","450.63905","450.63905"
"20160127","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","74.5717","450.63905","450.63905"
"20160127","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","450.63905","450.63905"
"20160128","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","315.672","497.12060","497.1206"
"20160128","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","121.05325","497.12060","497.1206"
"20160128","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","497.12060","497.1206"
"20160129","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","420.6718","664.18915","664.18915"
"20160129","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","183.122","664.18915","664.18915"
"20160129","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","664.18915","664.18915"
"20160130","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","745.6718","1043.66430","1043.6643"
"20160130","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","237.59715","1043.66430","1043.6643"
"20160130","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","1043.66430","1043.6643"
"20160131","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","745.6718","1043.66430","1043.6643"
"20160131","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","237.59715","1043.66430","1043.6643"
"20160131","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","1043.66430","1043.6643"
"20160102","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","9.37365","9.37365","9.37365"
"20160103","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","9.37365","9.37365","9.37365"
"20160104","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","9.37365","9.37365","9.37365"
"20160105","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.27365","15.27365","15.27365"
"20160106","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.27365","15.27365","15.27365"
"20160107","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.27365","15.27365","15.27365"
"20160108","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","3","18.26365","18.26365"
"20160108","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.26365","18.26365","18.26365"
"20160109","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","3","18.26365","18.26365"
"20160109","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.26365","18.26365","18.26365"
"20160110","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","3","18.26365","18.26365"
"20160110","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.26365","18.26365","18.26365"
"20160111","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","3","18.26365","18.26365"
"20160111","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.26365","18.26365","18.26365"
"20160112","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","3","18.26365","18.26365"
"20160112","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.26365","18.26365","18.26365"
"20160113","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","5.985","81.64400","81.644"
"20160113","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.26365","81.64400","81.644"
"20160113","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","81.64400","81.644"
"20160114","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","5.985","81.64400","81.644"
"20160114","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.26365","81.64400","81.644"
"20160114","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","81.64400","81.644"
"20160115","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","5.985","81.64400","81.644"
"20160115","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.26365","81.64400","81.644"
"20160115","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","81.64400","81.644"
"20160116","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","5.985","81.64400","81.644"
"20160116","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.26365","81.64400","81.644"
"20160116","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","81.64400","81.644"
"20160117","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","5.985","81.64400","81.644"
"20160117","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.26365","81.64400","81.644"
"20160117","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","81.64400","81.644"
"20160118","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","5.985","81.64400","81.644"
"20160118","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.26365","81.64400","81.644"
"20160118","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","81.64400","81.644"
"20160119","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","5.985","81.64400","81.644"
"20160119","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.26365","81.64400","81.644"
"20160119","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","81.64400","81.644"
"20160120","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","5.985","81.64400","81.644"
"20160120","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.26365","81.64400","81.644"
"20160120","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","81.64400","81.644"
"20160121","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","5.985","81.64400","81.644"
"20160121","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","15.26365","81.64400","81.644"
"20160121","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","81.64400","81.644"
"20160122","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","5.985","86.60400","86.604"
"20160122","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","20.22365","86.60400","86.604"
"20160122","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","86.60400","86.604"
"20160123","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","105.705","240.67205","240.67205"
"20160123","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","74.5717","240.67205","240.67205"
"20160123","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","240.67205","240.67205"
"20160124","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","105.705","240.67205","240.67205"
"20160124","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","74.5717","240.67205","240.67205"
"20160124","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","240.67205","240.67205"
"20160125","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","210.6723","345.63935","345.63935"
"20160125","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","74.5717","345.63935","345.63935"
"20160125","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","345.63935","345.63935"
"20160126","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","210.6723","345.63935","345.63935"
"20160126","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","74.5717","345.63935","345.63935"
"20160126","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","345.63935","345.63935"
"20160127","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","315.672","450.63905","450.63905"
"20160127","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","74.5717","450.63905","450.63905"
"20160127","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","450.63905","450.63905"
"20160128","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","315.672","497.12060","497.1206"
"20160128","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","121.05325","497.12060","497.1206"
"20160128","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","497.12060","497.1206"
"20160129","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","420.6718","664.18915","664.18915"
"20160129","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","183.122","664.18915","664.18915"
"20160129","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","664.18915","664.18915"
"20160130","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","745.6718","1043.66430","1043.6643"
"20160130","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","237.59715","1043.66430","1043.6643"
"20160130","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","1043.66430","1043.6643"
"20160131","Region Name: Gujarat","12","Tur(Arhar)","BARODA","WB12","745.6718","1043.66430","1043.6643"
"20160131","Region Name: Gujarat","12","Tur(Arhar)","RAJKOT","WB13","237.59715","1043.66430","1043.6643"
"20160131","Region Name: Gujarat","12","Tur(Arhar)","SABARMATI","WB14","60.39535","1043.66430","1043.6643"
